sAMAccountName,firstName,lastName,displayName,groups,userPrincipalName,password,ou,description
Georgi.Facello,Georgi,Facello,Georgi Facello,BulkUsers,Georgi.Facello@cloudoperations.com,Welcome1,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Bezalel.Simmel,Bezalel,Simmel,Bezalel Simmel,BulkUsers,Bezalel.Simmel@cloudoperations.com,Welcome2,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Parto.Bamford,Parto,Bamford,Parto Bamford,BulkUsers,Parto.Bamford@cloudoperations.com,Welcome3,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Chirstian.Koblick,Chirstian,Koblick,Chirstian Koblick,BulkUsers,Chirstian.Koblick@cloudoperations.com,Welcome4,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Kyoichi.Maliniak,Kyoichi,Maliniak,Kyoichi Maliniak,BulkUsers,Kyoichi.Maliniak@cloudoperations.com,Welcome5,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Anneke.Preusig,Anneke,Preusig,Anneke Preusig,BulkUsers,Anneke.Preusig@cloudoperations.com,Welcome6,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Tzvetan.Zielinski,Tzvetan,Zielinski,Tzvetan Zielinski,BulkUsers,Tzvetan.Zielinski@cloudoperations.com,Welcome7,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Saniya.Kalloufi,Saniya,Kalloufi,Saniya Kalloufi,BulkUsers,Saniya.Kalloufi@cloudoperations.com,Welcome8,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Sumant.Peac,Sumant,Peac,Sumant Peac,BulkUsers,Sumant.Peac@cloudoperations.com,Welcome9,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Duangkaew.Piveteau,Duangkaew,Piveteau,Duangkaew Piveteau,BulkUsers,Duangkaew.Piveteau@cloudoperations.com,Welcome10,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Mary.Sluis,Mary,Sluis,Mary Sluis,BulkUsers,Mary.Sluis@cloudoperations.com,Welcome11,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Patricio.Bridgland,Patricio,Bridgland,Patricio Bridgland,BulkUsers,Patricio.Bridgland@cloudoperations.com,Welcome12,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Eberhardt.Terkki,Eberhardt,Terkki,Eberhardt Terkki,BulkUsers,Eberhardt.Terkki@cloudoperations.com,Welcome13,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Berni.Genin,Berni,Genin,Berni Genin,BulkUsers,Berni.Genin@cloudoperations.com,Welcome14,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Guoxiang.Nooteboom,Guoxiang,Nooteboom,Guoxiang Nooteboom,BulkUsers,Guoxiang.Nooteboom@cloudoperations.com,Welcome15,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Kazuhito.Cappelletti,Kazuhito,Cappelletti,Kazuhito Cappelletti,BulkUsers,Kazuhito.Cappelletti@cloudoperations.com,Welcome16,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Cristinel.Bouloucos,Cristinel,Bouloucos,Cristinel Bouloucos,BulkUsers,Cristinel.Bouloucos@cloudoperations.com,Welcome17,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Kazuhide.Peha,Kazuhide,Peha,Kazuhide Peha,BulkUsers,Kazuhide.Peha@cloudoperations.com,Welcome18,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Lillian.Haddadi,Lillian,Haddadi,Lillian Haddadi,BulkUsers,Lillian.Haddadi@cloudoperations.com,Welcome19,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Mayuko.Warwick,Mayuko,Warwick,Mayuko Warwick,BulkUsers,Mayuko.Warwick@cloudoperations.com,Welcome20,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Ramzi.Erde,Ramzi,Erde,Ramzi Erde,BulkUsers,Ramzi.Erde@cloudoperations.com,Welcome21,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Shahaf.Famili,Shahaf,Famili,Shahaf Famili,BulkUsers,Shahaf.Famili@cloudoperations.com,Welcome22,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Bojan.Montemayor,Bojan,Montemayor,Bojan Montemayor,BulkUsers,Bojan.Montemayor@cloudoperations.com,Welcome23,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Suzette.Pettey,Suzette,Pettey,Suzette Pettey,BulkUsers,Suzette.Pettey@cloudoperations.com,Welcome24,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Prasadram.Heyers,Prasadram,Heyers,Prasadram Heyers,BulkUsers,Prasadram.Heyers@cloudoperations.com,Welcome25,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Yongqiao.Berztiss,Yongqiao,Berztiss,Yongqiao Berztiss,BulkUsers,Yongqiao.Berztiss@cloudoperations.com,Welcome26,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Divier.Reistad,Divier,Reistad,Divier Reistad,BulkUsers,Divier.Reistad@cloudoperations.com,Welcome27,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Domenick.Tempesti,Domenick,Tempesti,Domenick Tempesti,BulkUsers,Domenick.Tempesti@cloudoperations.com,Welcome28,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Otmar.Herbst,Otmar,Herbst,Otmar Herbst,BulkUsers,Otmar.Herbst@cloudoperations.com,Welcome29,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Elvis.Demeyer,Elvis,Demeyer,Elvis Demeyer,BulkUsers,Elvis.Demeyer@cloudoperations.com,Welcome30,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Karsten.Joslin,Karsten,Joslin,Karsten Joslin,BulkUsers,Karsten.Joslin@cloudoperations.com,Welcome31,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Jeong.Reistad,Jeong,Reistad,Jeong Reistad,BulkUsers,Jeong.Reistad@cloudoperations.com,Welcome32,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Arif.Merlo,Arif,Merlo,Arif Merlo,BulkUsers,Arif.Merlo@cloudoperations.com,Welcome33,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Bader.Swan,Bader,Swan,Bader Swan,BulkUsers,Bader.Swan@cloudoperations.com,Welcome34,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Alain.Chappelet,Alain,Chappelet,Alain Chappelet,BulkUsers,Alain.Chappelet@cloudoperations.com,Welcome35,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Adamantios.Portugali,Adamantios,Portugali,Adamantios Portugali,BulkUsers,Adamantios.Portugali@cloudoperations.com,Welcome36,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Pradeep.Makrucki,Pradeep,Makrucki,Pradeep Makrucki,BulkUsers,Pradeep.Makrucki@cloudoperations.com,Welcome37,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Huan.Lortz,Huan,Lortz,Huan Lortz,BulkUsers,Huan.Lortz@cloudoperations.com,Welcome38,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Alejandro.Brender,Alejandro,Brender,Alejandro Brender,BulkUsers,Alejandro.Brender@cloudoperations.com,Welcome39,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Weiyi.Meriste,Weiyi,Meriste,Weiyi Meriste,BulkUsers,Weiyi.Meriste@cloudoperations.com,Welcome40,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Uri.Lenart,Uri,Lenart,Uri Lenart,BulkUsers,Uri.Lenart@cloudoperations.com,Welcome41,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Magy.Stamatiou,Magy,Stamatiou,Magy Stamatiou,BulkUsers,Magy.Stamatiou@cloudoperations.com,Welcome42,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Yishay.Tzvieli,Yishay,Tzvieli,Yishay Tzvieli,BulkUsers,Yishay.Tzvieli@cloudoperations.com,Welcome43,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Mingsen.Casley,Mingsen,Casley,Mingsen Casley,BulkUsers,Mingsen.Casley@cloudoperations.com,Welcome44,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Moss.Shanbhogue,Moss,Shanbhogue,Moss Shanbhogue,BulkUsers,Moss.Shanbhogue@cloudoperations.com,Welcome45,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Lucien.Rosenbaum,Lucien,Rosenbaum,Lucien Rosenbaum,BulkUsers,Lucien.Rosenbaum@cloudoperations.com,Welcome46,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Zvonko.Nyanchama,Zvonko,Nyanchama,Zvonko Nyanchama,BulkUsers,Zvonko.Nyanchama@cloudoperations.com,Welcome47,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Florian.Syrotiuk,Florian,Syrotiuk,Florian Syrotiuk,BulkUsers,Florian.Syrotiuk@cloudoperations.com,Welcome48,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Basil.Tramer,Basil,Tramer,Basil Tramer,BulkUsers,Basil.Tramer@cloudoperations.com,Welcome49,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Yinghua.Dredge,Yinghua,Dredge,Yinghua Dredge,BulkUsers,Yinghua.Dredge@cloudoperations.com,Welcome50,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Hidefumi.Caine,Hidefumi,Caine,Hidefumi Caine,BulkUsers,Hidefumi.Caine@cloudoperations.com,Welcome51,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Heping.Nitsch,Heping,Nitsch,Heping Nitsch,BulkUsers,Heping.Nitsch@cloudoperations.com,Welcome52,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Sanjiv.Zschoche,Sanjiv,Zschoche,Sanjiv Zschoche,BulkUsers,Sanjiv.Zschoche@cloudoperations.com,Welcome53,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Mayumi.Schueller,Mayumi,Schueller,Mayumi Schueller,BulkUsers,Mayumi.Schueller@cloudoperations.com,Welcome54,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Georgy.Dredge,Georgy,Dredge,Georgy Dredge,BulkUsers,Georgy.Dredge@cloudoperations.com,Welcome55,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Brendon.Bernini,Brendon,Bernini,Brendon Bernini,BulkUsers,Brendon.Bernini@cloudoperations.com,Welcome56,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Ebbe.Callaway,Ebbe,Callaway,Ebbe Callaway,BulkUsers,Ebbe.Callaway@cloudoperations.com,Welcome57,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Berhard.McFarlin,Berhard,McFarlin,Berhard McFarlin,BulkUsers,Berhard.McFarlin@cloudoperations.com,Welcome58,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Alejandro.McAlpine,Alejandro,McAlpine,Alejandro McAlpine,BulkUsers,Alejandro.McAlpine@cloudoperations.com,Welcome59,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Breannda.Billingsley,Breannda,Billingsley,Breannda Billingsley,BulkUsers,Breannda.Billingsley@cloudoperations.com,Welcome60,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Tse.Herber,Tse,Herber,Tse Herber,BulkUsers,Tse.Herber@cloudoperations.com,Welcome61,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Anoosh.Peyn,Anoosh,Peyn,Anoosh Peyn,BulkUsers,Anoosh.Peyn@cloudoperations.com,Welcome62,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Gino.Leonhardt,Gino,Leonhardt,Gino Leonhardt,BulkUsers,Gino.Leonhardt@cloudoperations.com,Welcome63,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Udi.Jansch,Udi,Jansch,Udi Jansch,BulkUsers,Udi.Jansch@cloudoperations.com,Welcome64,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Satosi.Awdeh,Satosi,Awdeh,Satosi Awdeh,BulkUsers,Satosi.Awdeh@cloudoperations.com,Welcome65,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Kwee.Schusler,Kwee,Schusler,Kwee Schusler,BulkUsers,Kwee.Schusler@cloudoperations.com,Welcome66,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Claudi.Stavenow,Claudi,Stavenow,Claudi Stavenow,BulkUsers,Claudi.Stavenow@cloudoperations.com,Welcome67,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Charlene.Brattka,Charlene,Brattka,Charlene Brattka,BulkUsers,Charlene.Brattka@cloudoperations.com,Welcome68,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Margareta.Bierman,Margareta,Bierman,Margareta Bierman,BulkUsers,Margareta.Bierman@cloudoperations.com,Welcome69,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Reuven.Garigliano,Reuven,Garigliano,Reuven Garigliano,BulkUsers,Reuven.Garigliano@cloudoperations.com,Welcome70,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Hisao.Lipner,Hisao,Lipner,Hisao Lipner,BulkUsers,Hisao.Lipner@cloudoperations.com,Welcome71,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Hironoby.Sidou,Hironoby,Sidou,Hironoby Sidou,BulkUsers,Hironoby.Sidou@cloudoperations.com,Welcome72,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Shir.McClurg,Shir,McClurg,Shir McClurg,BulkUsers,Shir.McClurg@cloudoperations.com,Welcome73,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Mokhtar.Bernatsky,Mokhtar,Bernatsky,Mokhtar Bernatsky,BulkUsers,Mokhtar.Bernatsky@cloudoperations.com,Welcome74,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Gao.Dolinsky,Gao,Dolinsky,Gao Dolinsky,BulkUsers,Gao.Dolinsky@cloudoperations.com,Welcome75,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Erez.Ritzmann,Erez,Ritzmann,Erez Ritzmann,BulkUsers,Erez.Ritzmann@cloudoperations.com,Welcome76,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
Mona.Azuma,Mona,Azuma,Mona Azuma,BulkUsers,Mona.Azuma@cloudoperations.com,Welcome77,"OU=Users,OU=cloudoperations,DC=cloudoperations,DC=com",CMPE282 Test Users
